Name,Sex
"Bishop, Mrs. Dickinson H (Helen Walton)",female
"Hanna, Mr. Mansour",male
"Williams, Mr. Howard Hugh ""Harry""",male
"Allison, Master. Hudson Trevor",male
"Fleming, Miss. Margaret",female
"Francatelli, Miss. Laura Mabel",female
"Hendekovic, Mr. Ignjac",male
"Hart, Mr. Benjamin",male
"Nilsson, Miss. Helmina Josefina",female
"Sage, Mr. George John Jr",male
"Nysveen, Mr. Johan Hansen",male
"McCoy, Miss. Agnes",female
"Vander Planke, Mr. Leo Edmondus",male
"Sedgwick, Mr. Charles Frederick Waddington",male
"Brown, Miss. Amelia ""Mildred""",female
"Davison, Mrs. Thomas Henry (Mary E Finck)",female
"Dimic, Mr. Jovan",male
"Odahl, Mr. Nils Martin",male
"Bowerman, Miss. Elsie Edith",female
"Mockler, Miss. Helen Mary ""Ellie""",female
"del Carlo, Mr. Sebastiano",male
"Barbara, Mrs. (Catherine David)",female
"O'Brien, Mr. Thomas",male
"Moussa, Mrs. (Mantoura Boulos)",female
"Jermyn, Miss. Annie",female
"Wiklund, Mr. Jakob Alfred",male
"Palsson, Miss. Stina Viola",female
"Meyer, Mrs. Edgar Joseph (Leila Saks)",female
"Landergren, Miss. Aurora Adelia",female
"Tikkanen, Mr. Juho",male
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female
"Davies, Mr. Charles Henry",male
"Jansson, Mr. Carl Olof",male
"Johansson, Mr. Erik",male
"McKane, Mr. Peter David",male
"Niskanen, Mr. Juha",male
"Jussila, Miss. Mari Aina",female
"Birkeland, Mr. Hans Martin Monsen",male
"Lefebre, Miss. Ida",female
"Sdycoff, Mr. Todor",male
"Hart, Mr. Henry",male
"Minahan, Miss. Daisy E",female
"Sundman, Mr. Johan Julian",male
